Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Default)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	Condition Name	Condition Type	KC (Tokens)	KC Category (Tokens)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	KC (Intro CS Concepts)	KC Category (Intro CS Concepts)	KC (Tokens Merged)	KC Category (Tokens Merged)	School	Class	Event Type
11	All Data	dca326a8d5ae5c2d29fb070fdc221346	S002	1	2016-02-05 19:48:00		24	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-05 19:46:00	Binary Operation	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2 + s1\					hint_first		novice_class		Binary Operation		Single-KC		KC251		Arithmetic Operations		Binary Operation				
12	All Data	b556e945684a716e997c929b44af973c	S002	1	2016-02-05 19:48:00		24	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-05 19:46:00	Load	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2 + s1\					hint_first		novice_class		Load		Single-KC		KC9		Programming Language Fundamentals		Load				
13	All Data	e762009a4b41114a98d34b6c29029da8	S002	1	2016-02-05 19:48:00		24	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-05 19:46:00	Return	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2 + s1\					hint_first		novice_class		Return		Single-KC		KC124		Class and Functions		Function Definition				
14	All Data	896118bc6ed0ad7a1e7a148b2a5806b7	S002	1	2016-02-05 19:49:00		30	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Name	1	0	HINT			def firstAndLast(s):\n    n = len(s)\n    \n\treturn	At line 2, column 8 replace <b>len</b> with <b>list</b> in the function call				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
15	All Data	8b39a39d139b16467195fecd8f71b7c6	S002	1	2016-02-05 19:49:00		30	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Load	1	0	HINT			def firstAndLast(s):\n    n = len(s)\n    \n\treturn	At line 2, column 8 replace <b>len</b> with <b>list</b> in the function call				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
16	All Data	4669e26aa3268af90bcba01eee81b9f4	S002	1	2016-02-05 19:50:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Add	1	0	HINT			def firstAndLast(s):\n    \n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
17	All Data	9f8276d3c36b8e9bd631c0e621d4d6a0	S002	1	2016-02-05 19:50:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Add	2	0	HINT			def firstAndLast(s):\n    \n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
18	All Data	1c8c5d461b4e81aadcd784932508e63d	S002	1	2016-02-05 19:50:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	1	0	HINT			def firstAndLast(s):\n    \n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
19	All Data	a0b50592f587de06e849eb2192e7c37c	S002	1	2016-02-05 19:50:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	2	0	HINT			def firstAndLast(s):\n    \n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
20	All Data	3de2a80ceb4249f27508458124ee0894	S002	1	2016-02-05 19:50:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Return	1	0	HINT			def firstAndLast(s):\n    \n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Return		Single-KC		KC122		Class and Functions		Function Definition				
21	All Data	7683b52e1cce52421df6ff1745c5ddd4	S002	1	2016-02-05 19:50:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Return	2	0	HINT			def firstAndLast(s):\n    \n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Return		Single-KC		KC122		Class and Functions		Function Definition				
22	All Data	c7c95d5a9f9477c64978392d71618103	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Add	3	0	HINT			def firstAndLast(s):\n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
23	All Data	b0fc2b136d74110c09a1e6fabb2d0b1a	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	3	0	HINT			def firstAndLast(s):\n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
24	All Data	52af99e20df3c9607b11b739684dcbb7	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Return	3	0	HINT			def firstAndLast(s):\n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Return		Single-KC		KC122		Class and Functions		Function Definition				
25	All Data	9068a2078b2886afc3801fba367e3f39	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Name	2	0	HINT			def firstAndLast(s):\n    a = index\n\treturn	At line 2, column 8 replace <b>index</b> with <b>'~value~'['~value~']</b> in the right side of the assignment				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
26	All Data	b883dae3eac11845b6b5c0da2f054a3d	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Subscript	1	0	HINT			def firstAndLast(s):\n    a = index\n\treturn	At line 2, column 8 replace <b>index</b> with <b>'~value~'['~value~']</b> in the right side of the assignment				hint_first		novice_class		Subscript		Single-KC		KC241		Arithmetic Operations		Subscript				
27	All Data	6c2311a95218bb2b7078502f6f716189	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Index	1	0	HINT			def firstAndLast(s):\n    a = index\n\treturn	At line 2, column 8 replace <b>index</b> with <b>'~value~'['~value~']</b> in the right side of the assignment				hint_first		novice_class		Index		Single-KC		KC167		Programming Language Fundamentals		Index				
28	All Data	a4b52e51d4e5f190f816499140ba38b6	S002	1	2016-02-05 19:51:00		8.571	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Load	2	0	HINT			def firstAndLast(s):\n    a = index\n\treturn	At line 2, column 8 replace <b>index</b> with <b>'~value~'['~value~']</b> in the right side of the assignment				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
29	All Data	4ff184fe73e6994c0263e48cb1d7df83	S002	1	2016-02-05 19:52:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Add	4	0	HINT			def firstAndLast(s):\n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
30	All Data	cc97709a0665274049600b5d33875617	S002	1	2016-02-05 19:52:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	4	0	HINT			def firstAndLast(s):\n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
31	All Data	1d5822cb4a45b13f8fc1c0d9f7465853	S002	1	2016-02-05 19:52:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Return	4	0	HINT			def firstAndLast(s):\n\treturn	At line 2, column 4 replace <b>return \n</b> with <b>return ('~left value~' + '~right value~')\n</b> in the function body				hint_first		novice_class		Return		Single-KC		KC122		Class and Functions		Function Definition				
32	All Data	f67fe6116f8c546c720d3b0d23c17bb5	S002	1	2016-02-05 19:52:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Index	2	0	HINT			def firstAndLast(s):\n\treturn ('[all the stuff]' + '[extra stuff]')	At line 2, column 12 replace <b>'[all the stuff]'</b> with <b>'~value~'['~value~']</b> in the left side of the binary operation				hint_first		novice_class		Index		Single-KC		KC167		Programming Language Fundamentals		Index				
33	All Data	b9e4af6079ef874596eaa9a3f5f4b7ca	S002	1	2016-02-05 19:52:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Load	3	0	HINT			def firstAndLast(s):\n\treturn ('[all the stuff]' + '[extra stuff]')	At line 2, column 12 replace <b>'[all the stuff]'</b> with <b>'~value~'['~value~']</b> in the left side of the binary operation				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
34	All Data	869c1fc5dc93382ad38006b0ea1e3904	S002	1	2016-02-05 19:52:00		10	HINT_REQUEST		HINT_MSG		programming	firstAndLast	1	2016-02-05 19:48:00	Subscript	2	0	HINT			def firstAndLast(s):\n\treturn ('[all the stuff]' + '[extra stuff]')	At line 2, column 12 replace <b>'[all the stuff]'</b> with <b>'~value~'['~value~']</b> in the left side of the binary operation				hint_first		novice_class		Subscript		Single-KC		KC241		Arithmetic Operations		Subscript				
35	All Data	54ae133f141ff7ae820e1b3122918800	S002	1	2016-02-05 19:53:00		20	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	5	0	CORRECT			def firstAndLast(s):\n\treturn  + '[extra stuff]')					hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
36	All Data	a4d3e3ba94d7d28285e9ea793b26a634	S002	1	2016-02-05 19:53:00		20	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	3	0	INCORRECT			def firstAndLast(s):\n\treturn  + '[extra stuff]')	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
37	All Data	642d383141656fa9edd218f8b329a5b6	S002	1	2016-02-05 19:53:00		20	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Add	5	0	CORRECT			def firstAndLast(s):\n\treturn  + '[extra stuff]')					hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
38	All Data	13644aaf3ed0f23cf5901be2aaa7e770	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	1	0	INCORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
39	All Data	d15ca1d200a2661f7a2206124583aa65	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	6	0	INCORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
40	All Data	150feea1390f1df0b1b154798f789af9	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	4	0	INCORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
41	All Data	8ee323ba5c1aef8f925f34d8b2be102d	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	4	0	INCORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
42	All Data	c6b46540592068b3665aa9d8b975be87	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Add	6	0	CORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a					hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
43	All Data	0c65249121372cbbfe2c359ca7212148	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Subscript	3	0	CORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a					hint_first		novice_class		Subscript		Single-KC		KC241		Arithmetic Operations		Subscript				
44	All Data	93eb828a0649b2e1f3913571a290ea49	S002	1	2016-02-05 19:54:00		8.571	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Index	3	0	INCORRECT			def firstAndLast(s):\n    a = s.index[0] + s.index[:]\n\treturn a	Commission Error				hint_first		novice_class		Index		Single-KC		KC167		Programming Language Fundamentals		Index				
45	All Data	19abdb0f1ad9d52e3e84b4bd0b0c0051	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	2	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[len(s)]\n\treturn a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
46	All Data	d85bf76bf82a672b2a973a63f1e65d90	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	7	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[len(s)]\n\treturn a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
47	All Data	e03551d7e76d461b299c24d42339f6f6	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	5	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[len(s)]\n\treturn a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
48	All Data	9053570c20ab50ca7b9a1fee3fc8a8a1	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	5	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[len(s)]\n\treturn a	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
49	All Data	81c57dd1d3c422c2b7563e437fec8d87	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Index	4	0	CORRECT			def firstAndLast(s):\n    a = s[0] + s[len(s)]\n\treturn a					hint_first		novice_class		Index		Single-KC		KC167		Programming Language Fundamentals		Index				
50	All Data	daebc77670629d597d2f7e941ac73aa2	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	3	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\treturn a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
51	All Data	587b069b81891c1b16939f17401e65cb	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	8	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\treturn a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
52	All Data	10fbea2df8c4ab3d81fce1d0cb7a88ab	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	6	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\treturn a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
53	All Data	ed7cb690593c0b8b327833ff45bad3f2	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	6	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\treturn a	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
54	All Data	3ad9043dbeb473bb006132cd4e03a533	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	4	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\t    return a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
55	All Data	e27064ab18371fdfae43e91be954804b	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	9	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\t    return a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
56	All Data	452a48605570942d72def576c4dfed01	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	7	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\t    return a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
57	All Data	d75a8d2c81a7e3063a6209fb2694fb67	S002	1	2016-02-05 19:56:00		9.231	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	7	0	INCORRECT			def firstAndLast(s):\n    a = s[0] + s[1]\n\t    return a	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
58	All Data	844d5ceb564a24e146012f7c56a532f9	S002	1	2016-02-05 19:57:00		15	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	5	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n\t    return a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
59	All Data	5804c878cd98f3e8b94121ccc6ed3c15	S002	1	2016-02-05 19:57:00		15	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	10	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n\t    return a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
60	All Data	7d4d4fed7ae15f992b0d4537c9ebd1e2	S002	1	2016-02-05 19:57:00		15	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	8	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n\t    return a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
61	All Data	43ad1c8ccae800531690a6e1a7fa9422	S002	1	2016-02-05 19:57:00		15	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	8	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n\t    return a	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
62	All Data	ad9af44933e856112aaf8ed43e1dac2b	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	6	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\nreturn a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
63	All Data	1ebe86c97e401eaf3d5fc5c8c9c5691c	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	11	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\nreturn a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
64	All Data	131e2b9ca3778b41db7bdb036195d4a4	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	9	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\nreturn a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
65	All Data	fe6d5e04123e57a1dc1e6420bcf7215c	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Return	5	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\nreturn a	Commission Error				hint_first		novice_class		Return		Single-KC		KC122		Class and Functions		Function Definition				
66	All Data	2a5309574adb8d2c09c168e1a22f7e33	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Name	9	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\nreturn a	Commission Error				hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
67	All Data	f97d6acfdd0ef7bb43ffc2daf22e64e8	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Number	7	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n    return a	Commission Error				hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
68	All Data	4f105f14208680b5e2cc44fcf0e50a6c	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Binary Operation	12	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n    return a	Commission Error				hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
69	All Data	1914da6ca7afd395264ce805f6958f07	S002	1	2016-02-05 19:58:00		3.529	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-05 19:48:00	Load	10	0	INCORRECT			def firstAndLast(s):\n    n = len(s)\n    a = s[0] + s[n]\n    return a	Commission Error				hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
